english,french
Spatiotemporal random effects only,Effets aléatoires spatio-temporels seulement
Spawn index,Indice du frai
Spawning biomass,Biomasse reproductrice
Spawning biomass production,Production de la biomasse du stock reproducteur
Spawning stock biomass,Biomasse reproductrice
Special Concern,Espèce préoccupante
Species at Risk Act Management Plan Series,Série des plans de gestion de la Loi sur les espèces en péril.
Species at Risk Act Recovery Strategy,Série de programmes de rétablissement de la Loi sur les espèces en péril
Species code,Code d'espèce
Spent,Vides
Spinyhead Sculpin,chabot à tête épineuse
Splitnose Rockfish,bec-de-lièvre
Spotfin Sculpin,icéline à nageoires tachetées
Spotted Ratfish,chimère d'Amérique
SSB,BSR
SSB/Blim,BSR/Blim
Starry Flounder,flet étoilé
Start year,Année de début
Steepness,La pente
Strait of Georgia,Détroit de Georgie
Strait of Georgia/Howe Sound Sponge Reef Closures,Fermeture des pêches dans les récifs d'éponges du détroit de Georgie et de la baie Howe
Stripetail Rockfish,sébaste à queue rayée
Sturgeon Poacher,agone-esturgeon
Surface,Surface
Surface survey,Relevé en surface
Survey,Relevé
Survey biomass density,Densité de la biomasse du relevé
Survey biomass index,Indice de la biomasse
Survey biomass indices,Indices de la biomasse
Survey catchability,La capturabilité dans les relevés
Survey density (1000 fish/km^2),Densité du relevé (1 000 poissons/km2)
Survey period,Période du relevé
Survey relative biomass indices,Indices de la biomasse du relevés
Survey samples,Échantillons de relevé
Survey specimen counts,Décompte des spécimens du relevé
Surveys,Relevés
Synoptic survey biomass,Biomasse du relevé synoptique
Tables,Tableaux
Technical Report,Rapport technique
Temperature,Temperature
Term,Terme
Term Pups,Petits à la taille du terme
Test fishery,Pêche d'essai
Thornback Sculpin,chabot à dos épineux
Thousands,Milliers
Threadfin Grenadier,grenadier à filaments
Threadfin Sculpin,icéline filamenteuse
Threatened,Menacée
Tiger Rockfish,sébaste-tigre
Tons,Tonnes
Tope Shark,milandre
Total,Totale
Total catch,Des prises totales
Totals,Totales
Trap,Casier
